,,,MÔ TẢ SẢN PHẨM,,,,,,,THÔNG TIN ĐẶT HÀNG,,,,,,THÔNG TIN NHẬP KHO,,,TRẠNG THÁI GIAO HÀNG,,,THEO DÕI TIẾN ĐỘ SẢN XUẤT,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,MÀU,MÃ ĐƠN ĐẶT HÀNG,ĐƠN GIÁ,TỔNG GIÁ TRỊ,SL ĐẶT HÀNG (pcs),NHÀ MÁY,TIME LINE NHẬP KHO,TUẦN,TG GH/ KIỂM FINAL,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Duyệt vải,Duyệt Bo,Trạng thái đồng bộ SX,Ngày lên chuyền,Ngày dự kiến hoàn tất,KQ FINAL,VẤN ĐỀ,Tuần
29,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,TRẮNG,29_PO119_TRẮNG,124.200,62.100.000,500,AT,Tháng 3,Tuần 3,17/03/2026,18/03/2026,17/03/2026,489,98%,Đúng hạn,Hoàn thành,,,,,,,,,
30,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,ĐEN,30_PO119_ĐEN,124.200,62.100.000,500,AT,Tháng 4,Tuần 3,17/04/2026,18/04/2026,17/04/2026,501,100%,Đúng hạn,Hoàn thành,,,,,,,,,
31,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,XÁM NHẠT,31_PO119_XÁM NHẠT,124.200,62.100.000,500,AT,Tháng 3,Tuần 3,18/03/2026,19/03/2026,18/03/2026,488,98%,Đúng hạn,Hoàn thành,,,,,,,,,
32,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,KEM NHẠT,32_PO119_KEM NHẠT,124.200,62.100.000,500,AT,Tháng 3,Tuần 3,18/03/2026,19/03/2026,18/03/2026,487,97%,Đúng hạn,Hoàn thành,,,,,,,,,
34,RESTOCK,CHỦ LỰC,CLASSIC DIAMOND,,PO215,NAVY,34_PO215_NAVY,117.000,58.500.000,500,AN,Tháng 3,Tuần 4,25/03/2026,26/03/2026,25/03/2026,500,100%,Đúng hạn,Hoàn thành,,,,,,,,,
35,RESTOCK,DUY TRÌ,ZYBER,,PO210,ĐEN,35_PO210_ĐEN,145.800,72.900.000,500,AT,Tháng 3,Tuần 4,26/03/2026,27/03/2026,24/03/2026,406,81%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
36,RESTOCK,CHỦ LỰC,TRAVIS,,PO98,NAVY,36_PO98_NAVY,124.200,99.360.000,800,AT,Tháng 3,Tuần 1,03/03/2026,04/03/2026,03/03/2026,434,54%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
37,RESTOCK,DUY TRÌ,MAVEN,,PO230,NAVY,37_PO230_NAVY,137.160,82.296.000,600,AT,Tháng 3,Tuần 2,10/03/2026,11/03/2026,12/03/2026,587,98%,Đúng hạn,Hoàn thành,,,,,,,,"đơn 2 lót vải, duyệt 1 lót sx -> thiếu SL",
38,NEW IN,NEWIN,ZYBER,,PO210,CAFE,38_PO210_CAFE,145.800,72.900.000,500,AT,Tháng 3,Tuần 4,23/03/2026,24/03/2026,23/03/2026,430,86%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
39,NEW IN,NEWIN,ZYBER,,PO210,BE NHẠT,39_PO210_BE NHẠT,145.800,116.640.000,800,AT,Tháng 3,Tuần 4,24/03/2026,25/03/2026,24/03/2026,697,87%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
41,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,XÁM ĐẬM ,41_PO119_XÁM ĐẬM ,124.200,99.360.000,800,AT,Tháng 3,Tuần 3,20/03/2026,21/03/2026,20/03/2026,792,99%,Đúng hạn,Hoàn thành,,,,,,,,,
42,RESTOCK,DUY TRÌ,NIVIX,,PO202,KEM NHẠT,42_PO202_KEM NHẠT,131.868,79.120.800,600,TLN,Tháng 3,Tuần 2,10/03/2026,11/03/2026,10/03/2026,585,98%,Đúng hạn,Hoàn thành,,,,,,,,,
43,RESTOCK,DUY TRÌ,ADEN,,PO105,TRẮNG,43_PO105_TRẮNG,127.656,76.593.600,600,TLN,Tháng 3,Tuần 2,09/03/2026,10/03/2026,13/03/2026,590,98%,Trễ hạn,Hoàn thành,,,,,,,,,
44,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE,44_PO99_BE,112.000,89.600.000,800,LC,Tháng 3,Tuần 1,03/03/2026,04/03/2026,03/03/2026,800,100%,Đúng hạn,Hoàn thành,,,,,,,,,
45,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE ĐẬM,45_PO99_BE ĐẬM,112.000,56.000.000,500,LC,Tháng 3,Tuần 1,03/03/2026,04/03/2026,03/03/2026,609,122%,Đúng hạn,Hoàn thành,,,,,,,,,
46,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,NÂU,46_PO99_NÂU,112.000,56.000.000,500,LC,Tháng 3,Tuần 1,03/03/2026,04/03/2026,03/03/2026,365,73%,Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
47,RESTOCK,DUY TRÌ,IRISH PMD35 ,,PO260,KEM,47_PO260_KEM,139.320,83.592.000,600,AT,Tháng 3,Tuần 1,05/03/2026,06/03/2026,04/03/2026,649,108%,Đúng hạn,Hoàn thành,,,,,,,,,
49,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,TRẮNG,49_PO88_TRẮNG,112.860,50.787.000,450,TLN,Tháng 4,Tuần 1,01/04/2026,02/04/2026,01/04/2026,440,98%,Đúng hạn,Hoàn thành,,,,,,,,,
50,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐEN,50_PO88_ĐEN,112.860,112.860.000,1.000,TLN,Tháng 3,Tuần 3,18/03/2026,19/03/2026,31/03/2026,928,93%,Trễ hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
51,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,KEM NHẠT,51_PO88_KEM NHẠT,112.860,67.716.000,600,TLN,Tháng 3,Tuần 4,24/03/2026,25/03/2026,24/03/2026,607,101%,Đúng hạn,Hoàn thành,,,,,,,,,
52,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,NAVY,52_PO88_NAVY,112.860,67.716.000,600,TLN,Tháng 3,Tuần 4,25/03/2026,26/03/2026,25/03/2026,599,100%,Đúng hạn,Hoàn thành,,,,,,,,,
53,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,TRẮNG,53_PO88_TRẮNG,112.860,112.860.000,1.000,TLN,Tháng 4,Tuần 3,14/04/2026,15/04/2026,14/04/2026,995,100%,Đúng hạn,Hoàn thành,,,,,,,,,
