 ,,TỔNG QUAN KHSX Q2,,,,,,,,SP RESTOCK,SP NEW IN,THÁNG,CHỦ LỰC,DUY TRÌ,NEWIN,PHỄU,"TỔNG SL 
(KẾ HOẠCH)",SL NHẬP KHO (THỰC TẾ),"SL CHƯA GIAO
(KẾ HOẠCH)","TIẾN ĐỘ
NHẬP KHO","TỔNG PO
(THEO MÃ MÀU)","PO TRỄ HẠN
(THEO MÃ MÀU)",TỈ LỆ GIAO HÀNG ĐÚNG TIẾN ĐỘ,PO ĐÚNG HẠN,TỔNG PO ĐANG SẢN XUẤT,TỔNG PO HOÀN THÀNH,On - time Rate NI,On - time Rate Core,
131,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐEN,131_PO88_ĐEN,111.780,55.890.000,500,TLN,Tháng 5,Tuần 1,09/05/2026,10/05/2026,09/05/2026,450,"90,00%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
132,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,TRẮNG,132_PO88_TRẮNG,111.780,111.780.000,1.000,TLN,Tháng 5,Tuần 2,14/05/2026,15/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,,,,,,,
133,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,NAVY,133_PO88_NAVY,112.860,90.288.000,800,TLN,Tháng 5,Tuần 2,14/05/2026,15/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,,,,,,,
134,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,BE NHẠT,134_PO88_BE NHẠT,111.780,67.068.000,600,TLN,Tháng 5,Tuần 1,09/05/2026,10/05/2026,09/05/2026,598,"99,67%",Đúng hạn,Hoàn thành,,,,,,,,,
135,NEW IN,NEWIN,BASIC DIAMOND,,PO166,OLIU,135_PO166_OLIU,126.144,100.915.200,800,TLN,Tháng 5,Tuần 1,02/05/2026,03/05/2026,04/05/2026,483,"60,38%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
136,NEW IN,NEWIN,BASIC DIAMOND,,PO166,RÊU,136_PO166_RÊU,126.144,100.915.200,800,TLN,Tháng 5,Tuần 1,02/05/2026,03/05/2026,04/05/2026,422,"52,75%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,,,,,,,,
137,NEW IN,NEWIN,BASIC DIAMOND,,PO166,INDIGO,137_PO166_INDIGO,120.204,96.163.200,800,TLN,Tháng 5,Tuần 1,02/05/2026,03/05/2026,02/05/2026,791,"98,88%",Đúng hạn,Hoàn thành,,,,,,,,,
138,RESTOCK,DUY TRÌ,ADEN,,PO105,TRẮNG,138_PO105_TRẮNG,127.656,76.593.600,600,TLN,Tháng 5,Tuần 3,19/05/2026,20/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,,,,,,,
139,RESTOCK,DUY TRÌ,NIVIX,,PO202,KEM NHẠT,139_PO202_KEM NHẠT,130.788,78.472.800,600,TLN,Tháng 5,Tuần 2,12/05/2026,13/05/2026,,,,Trễ hạn,Chưa tới thời hạn giao hàng,,,,,,,,,
140,RESTOCK,DUY TRÌ,RUM,,PO241,KEM NHẠT,140_PO241_KEM NHẠT,126.576,101.260.800,800,TLN,Tháng 5,Tuần 2,12/05/2026,13/05/2026,,,,Trễ hạn,Chưa tới thời hạn giao hàng,,,,,,,,,
141,RESTOCK,DUY TRÌ,ANDY,,PO182,KEM NHẠT,141_PO182_KEM NHẠT,122.364,97.891.200,800,TLN,Tháng 5,Tuần 2,12/05/2026,13/05/2026,,,,Trễ hạn,Chưa tới thời hạn giao hàng,,,,,,,,,
142,RESTOCK,DUY TRÌ,KANE,,PO235,BE ĐẬM,142_PO235_BE ĐẬM,128.736,64.368.000,500,TLN,Tháng 6,Tuần 4,23/06/2026,24/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
146,NEW IN,NEWIN,TORA - PMB85,,PO302,KEM  NHẠT,146_PO302_KEM  NHẠT,135.000,108.000.000,800,TLN,Tháng 5,Tuần 1,04/05/2026,05/05/2026,04/05/2026,790,"98,75%",Đúng hạn,Hoàn thành,,,,,,,,,
147,NEW IN,NEWIN,ALLI - PMB81,,PO304,KEM VÀNG,147_PO304_KEM VÀNG,127.656,102.124.800,800,TLN,Tháng 5,Tuần 1,04/05/2026,05/05/2026,04/05/2026,791,"98,88%",Đúng hạn,Hoàn thành,,,,,,,,,
148,RESTOCK,CHỦ LỰC,JEAN STRAIGHT,,PO216,ĐEN,148_PO216_ĐEN,194.400,97.200.000,500,LC,Tháng 5,Tuần 3,20/05/2026,21/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,,,,,,,
149,RESTOCK,CHỦ LỰC,JEAN STRAIGHT,,PO216,XANH ĐẬM,149_PO216_XANH ĐẬM,194.400,97.200.000,500,LC,Tháng 5,Tuần 3,20/05/2026,21/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,,,,,,,
150,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,BE,150_PO126_BE,136.080,81.648.000,600,LC,Tháng 5,Tuần 4,25/05/2026,26/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
151,RESTOCK,CHỦ LỰC,QUẦN TÂY LƯNG CHUN,,PO86,"ĐEN
","151_PO86_ĐEN
",168.480,101.088.000,600,LC,Tháng 5,Tuần 4,25/05/2026,26/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
152,RESTOCK,DUY TRÌ,Sơ mi  OXFORD PREMIUM,,PO252,TRẮNG 02,152_PO252_TRẮNG 02,150.120,120.096.000,800,GLX,Tháng 5,Tuần 3,21/05/2026,22/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
154,RESTOCK,DUY TRÌ,Sơ mi OXFORD PREMIUM,,PO252,BE ,154_PO252_BE ,150.120,105.084.000,700,GLX,Tháng 5,Tuần 3,21/05/2026,22/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
156,NEW IN,NEWIN,Sơ mi TAY NGẮN OXFORD,,PO307,TRẮNG,156_PO307_TRẮNG,137.160,82.296.000,600,GLX,Tháng 5,Tuần 4,28/05/2026,29/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
157,NEW IN,NEWIN,Sơ mi TAY NGẮN OXFORD,,PO307,ĐEN,157_PO307_ĐEN,143.640,57.456.000,400,GLX,Tháng 5,Tuần 4,28/05/2026,29/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
158,NEW IN,NEWIN,Sơ mi TAY NGẮN OXFORD,,PO307,NAVY,158_PO307_NAVY,143.640,57.456.000,400,GLX,Tháng 5,Tuần 4,28/05/2026,29/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
159,RESTOCK,CHỦ LỰC,BASIC CLASSIC,,PO119,KEM NHẠT,159_PO119_KEM NHẠT,112.860,67.716.000,600,TLN,Tháng 6,Tuần 3,19/06/2026,20/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
160,RESTOCK,CHỦ LỰC,BASIC CLASSIC,,PO119,"ĐEN
","160_PO119_ĐEN
",112.860,67.716.000,600,TLN,Tháng 6,Tuần 3,19/06/2026,20/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
161,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,CHOCO,161_PO166_CHOCO,128.520,77.112.000,600,AT,Tháng 6,Tuần 2,12/06/2026,13/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
162,RESTOCK,CHỦ LỰC,BASIC DIAMOND,,PO166,XANH LÁ,162_PO166_XANH LÁ,128.520,77.112.000,600,AT,Tháng 6,Tuần 2,12/06/2026,13/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
164,RESTOCK,CHỦ LỰC,CLASSIC DIAMOND V2,,PO276,NAVY,164_PO276_NAVY,126.360,75.816.000,600,AT,Tháng 6,Tuần 3,17/06/2026,18/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
165,RESTOCK,CHỦ LỰC,CLASSIC DIAMOND V2,,PO276,TRẮNG,165_PO276_TRẮNG,126.360,75.816.000,600,AT,Tháng 6,Tuần 3,17/06/2026,18/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
166,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,TRẮNG,166_PO88_TRẮNG,112.860,112.860.000,1.000,TLN,Tháng 6,Tuần 1,02/06/2026,03/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
167,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,NAVY,167_PO88_NAVY,112.860,90.288.000,800,TLN,Tháng 6,Tuần 2,11/06/2026,12/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
168,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,KEM NHẠT,168_PO88_KEM NHẠT,112.860,67.716.000,600,TLN,Tháng 6,Tuần 2,11/06/2026,12/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
169,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,XANH LÁ,169_PO88_XANH LÁ,112.860,67.716.000,600,TLN,Tháng 6,Tuần 2,11/06/2026,12/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
170,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐỎ NÂU,170_PO88_ĐỎ NÂU,112.860,90.288.000,800,TLN,Tháng 6,Tuần 2,08/06/2026,09/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
171,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,KEM VÀNG,171_PO88_KEM VÀNG,112.860,67.716.000,600,TLN,Tháng 6,Tuần 2,08/06/2026,09/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
173,RESTOCK,DUY TRÌ,LOKI PMD19,,PO225,NAVY,173_PO225_NAVY,127.656,102.124.800,800,TLN,Tháng 6,Tuần 4,23/06/2026,24/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
175,RESTOCK,DUY TRÌ,"JAY PMK16
",,PO201,KEM NHẠT,175_PO201_KEM NHẠT,121.284,97.027.200,800,TLN,Tháng 6,Tuần 1,02/06/2026,03/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
176,RESTOCK,DUY TRÌ,"
 DAVID PMK17
",,PO206,TRẮNG,176_PO206_TRẮNG,129.816,103.852.800,800,TLN,Tháng 6,Tuần 3,16/06/2026,17/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
177,NEW IN,NEWIN,DALE  PMB86,,PO305,KEM VÀNG,177_PO305_KEM VÀNG,137.052,75.378.600,550,TLN,Tháng 6,Tuần 1,02/06/2026,03/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
179,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,ĐEN,179_PO99_ĐEN,123.120,73.872.000,600,LC,Tháng 6,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
180,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,BE ĐẬM,180_PO99_BE ĐẬM,123.120,73.872.000,600,LC,Tháng 6,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
181,RESTOCK,CHỦ LỰC,SHORT KAKI,,PO99,TRẮNG,181_PO99_TRẮNG,123.120,98.496.000,800,LC,Tháng 6,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
182,RESTOCK,CHỦ LỰC,KAKI STRAIGHT,,PO249,BE,182_PO249_BE,194.400,97.200.000,500,LC,Tháng 6,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
183,RESTOCK,CHỦ LỰC,KAKI STRAIGHT,,PO249,ĐEN,183_PO249_ĐEN,194.400,97.200.000,500,LC,Tháng 6,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
184,RESTOCK,CHỦ LỰC,KAKI STRAIGHT,,PO249,NÂU,184_PO249_NÂU,194.400,97.200.000,500,LC,Tháng 6,Tuần 2,10/06/2026,11/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
185,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,ĐEN,185_PO126_ĐEN,136.080,68.040.000,500,LC,Tháng 6,Tuần 4,26/06/2026,27/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
186,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,BE,186_PO126_BE,136.080,68.040.000,500,LC,Tháng 6,Tuần 4,26/06/2026,27/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
187,RESTOCK,CHỦ LỰC,KAKI SD,,PO126,NÂU ,187_PO126_NÂU ,136.080,68.040.000,500,LC,Tháng 6,Tuần 4,26/06/2026,27/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
188,RESTOCK,CHỦ LỰC,QUẦN TÂY LƯNG CHUN,,PO86,"ĐEN
","188_PO86_ĐEN
",168.480,101.088.000,600,LC,Tháng 6,Tuần 4,26/06/2026,27/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
189,RESTOCK,CHỦ LỰC,QUẦN TÂY LƯNG CHUN,,PO86,BE,189_PO86_BE,168.480,84.240.000,500,LC,Tháng 6,Tuần 4,26/06/2026,27/06/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
197,RESTOCK,CHỦ LỰC,BASIC CLASSIC,,PO119,TRẮNG,197_PO119_TRẮNG,112.860,67.716.000,600,TLN,Tháng 7,Tuần 2,06/07/2026,07/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
199,RESTOCK,CHỦ LỰC,BASIC CLASSIC,,PO119,CAFE,199_PO119_CAFE,112.860,67.716.000,600,TLN,Tháng 7,Tuần 3,16/07/2026,17/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
200,RESTOCK,CHỦ LỰC,CLASSIC DIAMOND V2,,PO276,BE NHẠT,200_PO276_BE NHẠT,128.520,77.112.000,600,AT,Tháng 7,Tuần 4,24/07/2026,25/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
201,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,TRẮNG,201_PO88_TRẮNG,112.860,169.290.000,1.500,TLN,Tháng 7,Tuần 2,06/07/2026,07/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
202,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐEN,202_PO88_ĐEN,112.860,90.288.000,800,TLN,Tháng 7,Tuần 2,06/07/2026,07/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
203,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,NAVY,203_PO88_NAVY,112.860,90.288.000,800,TLN,Tháng 7,Tuần 3,14/07/2026,15/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
204,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,BE,204_PO88_BE,112.860,90.288.000,800,TLN,Tháng 7,Tuần 3,17/07/2026,18/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
205,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,BE NHẠT,205_PO88_BE NHẠT,112.860,67.716.000,600,TLN,Tháng 7,Tuần 3,17/07/2026,18/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
207,NEW IN,NEWIN,BASIC SYMBOL,,PO88,MINT,207_PO88_MINT,112.860,90.288.000,800,TLN,Tháng 7,Tuần 1,01/07/2026,02/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
208,NEW IN,NEWIN,BASIC SYMBOL,,PO88,OLIU,208_PO88_OLIU,112.860,90.288.000,800,TLN,Tháng 7,Tuần 1,01/07/2026,02/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
209,NEW IN,NEWIN,BASIC SYMBOL,,PO88,DENIM,209_PO88_DENIM,127.656,102.124.800,800,TLN,Tháng 7,Tuần 1,01/07/2026,02/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
210,RESTOCK,DUY TRÌ,ADEN,,PO105,TRẮNG,210_PO105_TRẮNG,127.656,102.124.800,800,TLN,Tháng 7,Tuần 3,14/07/2026,15/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
212,RESTOCK,DUY TRÌ,RUM,,PO241,KEM NHẠT,212_PO241_KEM NHẠT,126.576,101.260.800,800,TLN,Tháng 7,Tuần 1,04/07/2026,05/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
214,RESTOCK,DUY TRÌ,KANE,,PO235,NAVY,214_PO235_NAVY,129.816,77.889.600,600,TLN,Tháng 7,Tuần 4,23/07/2026,24/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
215,RESTOCK,DUY TRÌ,WADE,,PO236,NAVY,215_PO236_NAVY,128.736,77.241.600,600,TLN,Tháng 7,Tuần 4,23/07/2026,24/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
216,RESTOCK,DUY TRÌ,WICK,,PO226,BE ĐẬM,216_PO226_BE ĐẬM,126.576,101.260.800,800,TLN,Tháng 7,Tuần 2,09/07/2026,10/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
217,NEW IN,NEWIN,RUM PMK36,,PO241,KHAKI,217_PO241_KHAKI,126.576,75.945.600,600,TLN,Tháng 7,Tuần 1,04/07/2026,05/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
218,NEW IN,NEWIN,LEDO PMB87,,PO306,KEM NHẠT,218_PO306_KEM NHẠT,132.948,79.768.800,600,TLN,Tháng 7,Tuần 1,04/07/2026,05/07/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,,,,,,,
